transaction_id,date,description,category,amount_lkr,transaction_type,notes
TXN0008,2026-01-01,"Office Rent — Colombo 3, Level 4",Rent,-121840.04,Debit,Monthly office lease payment
TXN0060,2026-01-01,Monthly Retainer — Dialog Axiata PLC,Retainer Fee,116845.62,Credit,Fixed monthly support retainer from Dialog Axiata PLC
TXN0061,2026-01-01,Monthly Retainer — Sampath Bank,Retainer Fee,145163.93,Credit,Fixed monthly support retainer from Sampath Bank
TXN0062,2026-01-01,Monthly Retainer — MAS Holdings,Retainer Fee,63572.23,Credit,Fixed monthly support retainer from MAS Holdings
TXN0063,2026-01-01,Monthly Retainer — SLT-Mobitel,Retainer Fee,126013.92,Credit,Fixed monthly support retainer from SLT-Mobitel
TXN0017,2026-01-02,Staff Overtime Meal Allowance,Meals & Entertainment,-3790.9,Debit,Petty cash expense
TXN0046,2026-01-02,Grab / PickMe — Staff Transport,Transport,-4591.71,Debit,Petty cash expense
TXN0077,2026-01-02,Fuel — Company Vehicle,Transport,-4335.61,Debit,Company vehicle fuel top-up
TXN0080,2026-01-02,Fuel — Company Vehicle,Transport,-5717.99,Debit,Company vehicle fuel top-up
TXN0042,2026-01-04,Courier — Document Delivery,Logistics,-1361.21,Debit,Petty cash expense
TXN0021,2026-01-05,Parking Fee — Colombo Office,Transport,-555.28,Debit,Petty cash expense
TXN0050,2026-01-06,Grab / PickMe — Staff Transport,Transport,-877.68,Debit,Petty cash expense
TXN0001,2026-01-07,Invoice Payment — Browns & Company,Sales Revenue,407762.24,Credit,Project milestone payment from Browns & Company
TXN0025,2026-01-07,Grab / PickMe — Staff Transport,Transport,-3855.07,Debit,Petty cash expense
TXN0072,2026-01-07,Ceylinco Insurance — Business Property & Liability,Insurance,-47260.73,Debit,Quarterly business insurance premium
TXN0075,2026-01-07,Fuel — Company Vehicle,Transport,-11224.51,Debit,Company vehicle fuel top-up
TXN0079,2026-01-07,Fuel — Company Vehicle,Transport,-6055.48,Debit,Company vehicle fuel top-up
TXN0038,2026-01-08,Printer Ink & Paper Restock,Office Supplies,-2281.56,Debit,Petty cash expense
TXN0049,2026-01-08,Printer Ink & Paper Restock,Office Supplies,-3886.83,Debit,Petty cash expense
